,YEAR,MONTH,DAY,HOUR
0,2020,8,7,8
1,2020,8,7,8
2,2020,8,7,8
3,2020,8,7,8
4,2020,8,7,8
5,2020,8,7,8
6,2020,8,7,8
7,2020,8,7,8
8,2020,8,7,8
9,2020,8,7,8
10,2020,8,7,8
11,2020,8,7,8
12,2020,8,7,8
13,2020,8,7,8
14,2020,8,7,8
15,2020,8,7,8
16,2020,8,7,8
17,2020,8,7,8
18,2020,8,7,8
19,2020,8,7,8
20,2020,8,7,8
21,2020,8,7,8
22,2020,8,7,8
23,2020,8,7,8
24,2020,8,7,8
25,2020,8,7,8
26,2020,8,7,8
27,2020,8,7,8
28,2020,8,7,8
29,2020,8,7,8
30,2020,8,7,9
31,2020,8,7,9
32,2020,8,7,9
33,2020,8,7,9
34,2020,8,7,9
35,2020,8,7,9
36,2020,8,7,9
37,2020,8,7,9
38,2020,8,7,9
39,2020,8,7,9
40,2020,8,7,9
41,2020,8,7,9
42,2020,8,7,9
43,2020,8,7,9
44,2020,8,7,9
45,2020,8,7,9
46,2020,8,7,10
47,2020,8,7,10
48,2020,8,7,10
49,2020,8,7,10
50,2020,8,7,10
51,2020,8,7,10
52,2020,8,7,10
53,2020,8,7,10
54,2020,8,7,10
55,2020,8,7,10
56,2020,8,7,10
57,2020,8,7,10
58,2020,8,7,10
59,2020,8,7,10
60,2020,8,7,10
61,2020,8,7,10
62,2020,8,7,10
63,2020,8,7,10
64,2020,8,7,10
65,2020,8,7,10
66,2020,8,7,10
67,2020,8,7,10
68,2020,8,7,10
69,2020,8,7,10
70,2020,8,7,10
71,2020,8,7,10
72,2020,8,7,10
73,2020,8,7,10
74,2020,8,7,10
75,2020,8,7,11
76,2020,8,7,11
77,2020,8,7,11
78,2020,8,7,11
79,2020,8,7,11
80,2020,8,7,11
81,2020,8,7,11
82,2020,8,7,11
83,2020,8,7,11
84,2020,8,7,11
85,2020,8,7,12
86,2020,8,7,12
87,2020,8,7,12
88,2020,8,7,12
89,2020,8,7,12
90,2020,8,7,12
91,2020,8,7,12
92,2020,8,7,12
93,2020,8,7,12
94,2020,8,7,12
95,2020,8,7,12
96,2020,8,7,13
97,2020,8,7,13
98,2020,8,7,14
99,2020,8,7,14
100,2020,8,7,14
101,2020,8,7,14
102,2020,8,7,14
103,2020,8,7,14
104,2020,8,7,14
105,2020,8,7,14
106,2020,8,7,15
107,2020,8,7,15
108,2020,8,7,15
109,2020,8,7,15
110,2020,8,7,15
111,2020,8,7,15
112,2020,8,7,15
113,2020,8,7,15
114,2020,8,7,15
115,2020,8,7,15
116,2020,8,7,15
117,2020,8,7,15
118,2020,8,7,16
119,2020,8,7,16
120,2020,8,7,16
121,2020,8,7,16
122,2020,8,7,16
123,2020,8,7,16
124,2020,8,7,16
125,2020,8,7,16
126,2020,8,7,16
127,2020,8,7,16
128,2020,8,7,16
129,2020,8,7,16
130,2020,8,7,16
131,2020,8,7,16
132,2020,8,7,17
133,2020,8,7,17
134,2020,8,7,8
135,2020,8,7,8
136,2020,8,7,8
