YEAR,MONTH,DAY,HOUR,CNT
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,13,7
2020,8,7,13,7
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,17,6
2020,8,7,17,6
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,13,7
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,17,6
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,8,66
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,9,47
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,10,72
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,11,30
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,12,37
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,14,25
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,15,36
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
2020,8,7,16,45
