YEAR,MONTH,DAY,HOUR,CNT,TOTAL_CNT
2020,8,7,8,66,371
2020,8,7,9,47,371
2020,8,7,10,72,371
2020,8,7,11,30,371
2020,8,7,12,37,371
2020,8,7,13,7,371
2020,8,7,14,25,371
2020,8,7,15,36,371
2020,8,7,16,45,371
2020,8,7,17,6,371
2020,8,10,8,99,549
2020,8,10,9,61,549
2020,8,10,10,81,549
2020,8,10,11,32,549
2020,8,10,12,60,549
2020,8,10,13,44,549
2020,8,10,14,63,549
2020,8,10,15,53,549
2020,8,10,16,53,549
2020,8,10,17,3,549
2020,8,11,8,91,558
2020,8,11,9,74,558
2020,8,11,10,107,558
2020,8,11,11,108,558
2020,8,11,12,32,558
2020,8,11,13,46,558
2020,8,11,14,20,558
2020,8,11,15,46,558
2020,8,11,16,34,558
2020,8,12,8,58,472
2020,8,12,9,77,472
2020,8,12,10,83,472
2020,8,12,11,64,472
2020,8,12,12,57,472
2020,8,12,13,31,472
2020,8,12,14,36,472
2020,8,12,15,30,472
2020,8,12,16,36,472
2020,8,13,8,60,558
2020,8,13,9,142,558
2020,8,13,10,69,558
2020,8,13,11,63,558
2020,8,13,12,47,558
2020,8,13,13,36,558
2020,8,13,14,40,558
2020,8,13,15,57,558
2020,8,13,16,38,558
2020,8,13,18,6,558
2020,8,14,8,85,419
2020,8,14,9,73,419
2020,8,14,10,42,419
2020,8,14,11,51,419
2020,8,14,12,23,419
2020,8,14,13,19,419
2020,8,14,14,47,419
2020,8,14,15,42,419
2020,8,14,16,33,419
2020,8,14,17,4,419
2020,8,18,8,117,555
2020,8,18,9,96,555
2020,8,18,10,68,555
2020,8,18,11,101,555
2020,8,18,12,63,555
2020,8,18,13,26,555
2020,8,18,14,44,555
2020,8,18,15,22,555
2020,8,18,16,10,555
2020,8,18,17,8,555
2020,8,19,8,76,568
2020,8,19,9,63,568
2020,8,19,10,75,568
2020,8,19,11,106,568
2020,8,19,12,38,568
2020,8,19,13,37,568
2020,8,19,14,32,568
2020,8,19,15,24,568
2020,8,19,16,20,568
2020,8,19,20,96,568
2020,8,19,17,1,568
2020,8,20,8,94,511
2020,8,20,9,57,511
2020,8,20,10,85,511
2020,8,20,11,87,511
2020,8,20,12,38,511
2020,8,20,13,10,511
2020,8,20,14,43,511
2020,8,20,15,41,511
2020,8,20,16,56,511
2020,8,21,8,122,463
2020,8,21,9,87,463
2020,8,21,10,54,463
2020,8,21,11,39,463
2020,8,21,12,29,463
2020,8,21,13,26,463
2020,8,21,14,33,463
2020,8,21,15,44,463
2020,8,21,16,29,463
2020,8,24,8,77,614
2020,8,24,9,158,614
2020,8,24,10,102,614
2020,8,24,11,81,614
2020,8,24,12,34,614
2020,8,24,13,34,614
2020,8,24,14,45,614
2020,8,24,15,67,614
2020,8,24,16,12,614
2020,8,24,17,4,614
2020,8,25,8,95,524
2020,8,25,9,82,524
2020,8,25,10,65,524
2020,8,25,11,87,524
2020,8,25,12,55,524
2020,8,25,13,22,524
2020,8,25,14,33,524
2020,8,25,15,50,524
2020,8,25,16,35,524
2020,8,26,8,55,373
2020,8,26,9,25,373
2020,8,26,10,7,373
2020,8,26,11,50,373
2020,8,26,12,62,373
2020,8,26,13,23,373
2020,8,26,14,49,373
2020,8,26,15,63,373
2020,8,26,16,33,373
2020,8,26,17,6,373
2020,8,27,8,108,472
2020,8,27,9,74,472
2020,8,27,10,61,472
2020,8,27,11,43,472
2020,8,27,12,31,472
2020,8,27,13,20,472
2020,8,27,14,63,472
2020,8,27,15,40,472
2020,8,27,16,26,472
2020,8,27,17,6,472
2020,8,28,8,77,347
2020,8,28,9,62,347
2020,8,28,10,54,347
2020,8,28,11,32,347
2020,8,28,12,31,347
2020,8,28,13,18,347
2020,8,28,14,20,347
2020,8,28,15,19,347
2020,8,28,16,34,347
2020,8,31,8,96,660
2020,8,31,9,129,660
2020,8,31,10,109,660
2020,8,31,11,72,660
2020,8,31,12,30,660
2020,8,31,13,18,660
2020,8,31,14,43,660
2020,8,31,15,81,660
2020,8,31,16,69,660
2020,8,31,17,13,660
2020,9,1,8,106,559
2020,9,1,9,55,559
2020,9,1,10,114,559
2020,9,1,11,104,559
2020,9,1,12,39,559
2020,9,1,13,23,559
2020,9,1,14,38,559
2020,9,1,15,46,559
2020,9,1,16,32,559
2020,9,1,17,2,559
2020,9,2,8,88,409
2020,9,2,9,50,409
2020,9,2,10,70,409
2020,9,2,11,46,409
2020,9,2,12,38,409
2020,9,2,13,25,409
2020,9,2,14,27,409
2020,9,2,15,26,409
2020,9,2,16,39,409
2020,9,3,8,117,487
2020,9,3,9,68,487
2020,9,3,10,72,487
2020,9,3,11,58,487
2020,9,3,12,22,487
2020,9,3,13,30,487
2020,9,3,14,58,487
2020,9,3,15,41,487
2020,9,3,16,20,487
2020,9,3,17,1,487
2020,9,4,8,73,300
2020,9,4,9,65,300
2020,9,4,10,80,300
2020,9,4,11,25,300
2020,9,4,12,9,300
2020,9,4,13,20,300
