MONTH,DAY,input_count,total_count
8,6,18,137
8,7,30,135
8,10,46,183
8,11,43,181
8,12,24,166
8,13,35,205
8,14,29,141
8,18,51,180
8,19,34,178
8,20,43,175
8,21,49,162
8,24,35,219
8,25,39,177
8,26,25,139
8,27,49,173
8,28,34,127
8,31,46,239
9,1,39,189
9,2,34,141
9,3,47,170
9,4,29,123
9,7,49,156
9,8,52,198
9,9,34,210
9,10,48,202
9,11,43,166
9,14,82,239
9,15,43,156
9,16,46,159
9,17,57,196
9,18,37,156
9,21,86,218
9,22,44,181
9,23,42,145
9,24,60,194
9,25,2,146
9,28,81,247
9,29,1,187
10,5,45,180
10,6,51,222
10,7,45,189
10,8,72,190
10,12,78,301
10,13,46,208
10,14,33,185
10,15,78,228
10,16,50,197
10,19,114,293
10,20,20,193
10,21,38,165
10,22,60,239
10,23,37,143
10,26,70,224
10,27,67,220
10,28,36,187
10,29,71,199
10,30,45,136
11,2,102,341
11,3,70,224
11,4,48,194
11,5,61,200
11,6,55,166
11,9,77,248
11,10,39,199
11,11,55,207
11,12,59,224
11,13,58,190
11,16,87,276
11,17,48,192
11,18,28,187
11,19,52,205
11,20,57,212
11,23,82,266
11,24,119,553
11,25,160,677
11,26,248,798
11,27,144,462
11,30,271,981
12,1,118,815
12,2,129,804
12,3,291,916
12,4,175,617
12,7,254,1012
12,8,147,735
12,9,220,859
12,10,212,730
12,11,224,677
12,14,280,978
12,15,215,813
12,16,126,761
12,17,251,805
12,18,149,628
12,21,198,1008
12,23,155,705
12,24,187,605
12,28,207,722
12,29,220,854
12,30,106,668
12,31,166,640
1,4,348,1130
1,5,250,930
1,6,176,864
1,7,252,879
1,8,218,717
1,11,329,1095
1,12,242,891
1,13,33,416
1,14,363,910
1,15,170,730
1,18,277,1136
1,19,183,809
1,20,169,766
1,21,336,985
1,22,136,614
1,25,277,1052
1,26,205,898
1,27,167,765
1,28,198,807
1,29,130,688
2,1,112,836
2,2,273,1030
2,3,162,577
2,4,138,766
2,5,212,659
2,8,281,1147
2,9,177,804
2,10,132,715
2,15,351,1217
2,16,205,1054
2,17,120,834
2,18,260,926
2,19,168,654
2,22,303,1127
2,23,139,848
2,24,124,761
2,25,188,823
2,26,183,674
3,3,201,883
3,4,223,1018
3,5,197,757
3,8,312,1109
3,9,243,905
3,10,168,863
3,11,228,910
3,12,139,854
3,15,294,1423
3,16,231,958
3,17,127,811
3,18,326,920
3,19,158,718
3,22,289,1055
3,23,237,989
3,24,179,841
3,25,177,860
3,26,261,840
3,29,385,1396
3,30,233,879
3,31,86,481
4,1,270,985
4,2,212,728
4,5,355,1146
4,6,240,944
4,7,238,1085
4,8,227,943
4,9,150,647
4,12,316,1252
4,13,258,1089
4,14,164,907
4,15,259,952
4,16,255,886
4,19,301,1177
4,20,232,922
4,21,177,860
4,22,276,1064
4,23,230,759
4,26,256,1197
4,27,226,924
4,28,211,888
4,29,298,912
4,30,222,751
